,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
49880,12343986,JE203729,01/25/2021 12:00:00 AM,103XX S HALSTED ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,COMMERCIAL / BUSINESS OFFICE,False,False,2232,22,34.0,49,11,1172804.0,1836294.0,2021,04/21/2021 04:49:40 PM,41.706219652,-87.642811511,"(41.706219652, -87.642811511)"
49882,12344296,JE203684,04/01/2021 12:00:00 PM,045XX N SACRAMENTO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1724,17,33.0,14,11,1155564.0,1929952.0,2021,04/21/2021 04:49:40 PM,41.963590636,-87.703428872,"(41.963590636, -87.703428872)"
49885,12344719,JE204718,03/31/2021 02:00:00 PM,017XX W GRAND AVE,0810,THEFT,OVER $500,RESTAURANT,False,False,1215,12,1.0,24,06,1164456.0,1903534.0,2021,04/21/2021 04:49:40 PM,41.890914038000005,-87.671485665,"(41.890914038, -87.671485665)"
49886,12344806,JE204783,04/06/2021 09:00:00 AM,062XX N NIAGARA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1611,16,41.0,10,14,1129215.0,1940920.0,2021,04/21/2021 04:52:37 PM,41.994178581,-87.800056037,"(41.994178581, -87.800056037)"
49888,12340327,JE199604,04/14/2021 06:59:00 PM,002XX N HALSTED ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1214,12,27.0,28,06,1171006.0,1901752.0,2021,04/21/2021 04:52:37 PM,41.885882957,-87.647483237,"(41.885882957, -87.647483237)"
49890,12339900,JE199014,04/14/2021 05:00:00 AM,082XX S ELLIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,631,6,8.0,44,11,1184332.0,1850510.0,2021,04/21/2021 04:52:37 PM,41.744968571,-87.600153551,"(41.744968571, -87.600153551)"
49891,12340272,JE199532,04/14/2021 04:15:00 PM,040XX W MONROE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1115,11,28.0,26,14,1149506.0,1899355.0,2021,04/21/2021 04:52:37 PM,41.879749716999996,-87.726498374,"(41.879749717, -87.726498374)"
49893,12339960,JE199058,04/14/2021 01:00:00 AM,126XX S TORRENCE AVE,0820,THEFT,$500 AND UNDER,FACTORY / MANUFACTURING BUILDING,False,False,433,4,10.0,55,06,1195862.0,1821766.0,2021,04/21/2021 04:52:37 PM,41.665814864,-87.55885388200001,"(41.665814864, -87.558853882)"
49894,12340314,JE199493,04/14/2021 03:38:00 PM,016XX E 50TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,222,2,5.0,39,08A,1188352.0,1872195.0,2021,04/21/2021 04:52:37 PM,41.804379051,-87.584732228,"(41.804379051, -87.584732228)"
49895,12340569,JE199760,04/14/2021 03:00:00 PM,088XX S MUSKEGON AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,423,4,10.0,46,06,1196545.0,1846914.0,2021,04/21/2021 04:52:37 PM,41.734806593,-87.555523225,"(41.734806593, -87.555523225)"
49896,12340021,JE199111,04/14/2021 11:00:00 AM,048XX S ADA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,933,9,20.0,61,14,1168149.0,1872578.0,2021,04/21/2021 04:52:37 PM,41.805889013000005,-87.65881612700001,"(41.805889013, -87.658816127)"
49897,12344144,JE203908,03/25/2021 12:01:00 AM,048XX W ADAMS ST,0810,THEFT,OVER $500,STREET,False,False,1533,15,28.0,25,06,1144207.0,1898894.0,2021,04/21/2021 04:49:40 PM,41.878585843,-87.74596736299999,"(41.878585843, -87.745967363)"
49898,12340358,JE199596,04/14/2021 09:00:00 AM,020XX S PULASKI RD,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,1014,10,24.0,29,08A,1150029.0,1889979.0,2021,04/21/2021 04:52:37 PM,41.854010712,-87.724822014,"(41.854010712, -87.724822014)"
49899,12340650,JE199040,04/14/2021 09:56:00 AM,017XX W 80TH ST,0810,THEFT,OVER $500,VEHICLE - DELIVERY TRUCK,False,False,611,6,21.0,71,06,1166018.0,1851643.0,2021,04/21/2021 04:52:37 PM,41.748486295999996,-87.66722658100001,"(41.748486296, -87.667226581)"
